#aciso=M;src: LT;
acanho=M;src: LT;
acaniano=M;src: LT;
acanonista=MF;src: LT;
acantela=F;src: LT;
acantequino=M;src: LT;
acantita=F;src: LT;
acantite=F;src: LT;
acantião [pl. acantiões]=M;src: LT;
acanto=M;src: LT;
acantoamento=M;src: LT;
acantocarpo=M;src: LT;
acantoceratídeo=M;src: LT;
acantocéfalo=M;src: LT;
acantodáctilo=M;src: LT;
acantodátilo=M;src: LT;
acantofagia=F;src: LT;
acantofilo=M;src: LT;
acantoglosso=M;src: LT;
acantoide=M;src: LT;
acantometra=F;src: LT;
acantonamento=M;src: LT;
acantope=M;src: LT;
acantoposia=F;src: LT;
acantopse=F;src: LT;
acantopterígio=M;src: LT;
acantoptérige=M;src: LT;
acantorrinco=M;src: LT;
acantorrino=M;src: LT;
acantorriza=F;src: LT;
acantose=F;src: LT;
acantossomo=M;src: LT;
acantosício=M;src: LT;
acantozoide=M;src: LT;
acanturo=M;src: LT;
acantácea=F;src: LT;
acantóbolo=M;src: LT;
acantóclado=M;src: LT;
acantónique=M;src: LT;
acantópode=M;src: LT;
acantóptero=M;src: LT;
acantóscele=M;src: LT;
